               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.032534,            0.010947,                   0,             0.78334,             0.70588,             0.79907,             0.45069,             0.03002,            0.010788,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.031425,            0.010123,                   0,             0.76035,             0.82652,             0.85787,             0.50833,             0.02864,           0.0091009,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.032926,           0.0093936,                   0,             0.87464,             0.80252,             0.91047,             0.54477,            0.028156,           0.0080969,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.031184,            0.010103,                   0,             0.79957,             0.66807,             0.79767,             0.44443,             0.03101,           0.0099077,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.031514,            0.010298,                   0,             0.74934,             0.84454,             0.86636,             0.50557,            0.029422,           0.0092025,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.030995,            0.010111,                   0,             0.77913,             0.70168,             0.79064,             0.46039,            0.029369,            0.010125,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.030469,           0.0093624,                   0,             0.77765,             0.77882,             0.85903,             0.51685,            0.027103,           0.0091971,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.03103,            0.010142,                   0,             0.87949,             0.86134,             0.93422,             0.60625,            0.025257,           0.0082546,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.029735,            0.010343,                   0,             0.86281,             0.92437,             0.95525,             0.61778,            0.025255,           0.0069455,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.029302,           0.0099235,                   0,             0.68836,             0.65126,               0.709,             0.39875,             0.03244,            0.011637,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.027765,           0.0095899,                   0,             0.86017,             0.90466,             0.93699,              0.6327,            0.022817,           0.0070115,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.02733,           0.0087816,                   0,             0.78159,              0.7479,             0.81542,             0.48142,            0.028728,           0.0098347,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.029631,            0.010044,                   0,             0.85344,             0.85636,             0.92169,             0.60031,            0.025175,           0.0078079,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.029942,           0.0089562,                   0,             0.84151,             0.84034,             0.91214,              0.5565,            0.026687,           0.0079283,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.027992,           0.0088716,                   0,             0.83013,             0.80672,             0.87908,             0.53646,            0.026434,           0.0085765,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.028634,           0.0093624,                   0,             0.89831,             0.95798,             0.97504,             0.68789,            0.021647,           0.0062437,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.027735,           0.0093766,                   0,              0.8966,             0.95378,             0.97116,             0.66571,            0.022381,           0.0063413,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.027343,           0.0090465,                   0,             0.89748,             0.91953,             0.95529,             0.66406,            0.022291,           0.0066406,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.026842,            0.010014,                   0,             0.86852,             0.77715,             0.91603,             0.61639,             0.02442,           0.0077122,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.028614,           0.0096785,                   0,             0.74519,              0.7563,             0.80121,             0.49679,            0.028775,            0.010357,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.025886,           0.0092113,                   0,             0.91339,             0.93052,             0.97272,             0.68612,            0.021157,           0.0063811,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.026696,           0.0093234,                   0,             0.90935,             0.88515,             0.96487,             0.66638,            0.022455,           0.0067082,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.026023,           0.0087279,                   0,             0.90349,             0.91597,             0.96199,             0.67324,            0.021855,           0.0066487,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.025676,           0.0083602,                   0,             0.86491,             0.86083,             0.93967,             0.63905,            0.023401,           0.0074372,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.024919,           0.0081877,                   0,             0.89037,             0.95546,             0.97225,             0.70198,            0.020937,           0.0062579,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.025284,           0.0087707,                   0,             0.85036,             0.83571,             0.90408,             0.61712,            0.023398,           0.0083563,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.024751,           0.0086606,                   0,             0.92761,             0.96218,             0.97292,             0.71846,            0.018949,           0.0057988,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.023879,           0.0082495,                   0,             0.91797,             0.89338,             0.96003,             0.69159,            0.020484,           0.0065001,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.024624,           0.0082005,                   0,             0.94614,             0.95955,              0.9863,             0.74049,            0.018635,           0.0055289,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.024239,           0.0078876,                   0,             0.91029,             0.93802,              0.9709,             0.71462,            0.019286,           0.0061374,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.024242,           0.0083758,                   0,             0.97442,             0.96042,              0.9899,             0.73115,            0.019293,           0.0054413,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.022971,           0.0075995,                   0,             0.95525,             0.98665,             0.99181,             0.76743,             0.01744,           0.0051613,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.023615,           0.0074442,                   0,             0.90062,             0.87579,             0.95137,             0.67143,            0.022525,           0.0072611,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.024978,           0.0081618,                   0,             0.97157,             0.98319,             0.99316,             0.75937,            0.017832,           0.0051619,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.024716,            0.007934,                   0,             0.96642,             0.96742,             0.98974,             0.75193,            0.018336,           0.0053628,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.023867,           0.0077767,                   0,             0.94811,             0.92121,             0.98129,             0.71525,            0.019678,           0.0061253,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.023607,           0.0072966,                   0,             0.91262,             0.91176,              0.9725,             0.70909,            0.019858,           0.0065557,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.023029,           0.0078183,                   0,             0.98983,             0.97899,             0.99426,             0.78403,            0.016876,           0.0048783,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.021681,           0.0074667,                   0,             0.98703,             0.95912,             0.99117,             0.76493,            0.017781,           0.0052435,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.022963,           0.0079035,                   0,             0.98948,             0.97059,             0.99414,             0.78657,            0.016381,           0.0048276,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.021935,           0.0072771,                   0,             0.97917,             0.98739,             0.99442,             0.80095,            0.015706,           0.0045927,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.022376,           0.0074006,                   0,             0.89988,             0.86555,              0.9549,             0.69191,            0.020184,           0.0062724,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.021465,           0.0068825,                   0,             0.98379,             0.97899,             0.99421,             0.78847,            0.016137,           0.0045949,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.021733,           0.0069093,                   0,             0.98704,             0.95986,              0.9931,             0.79093,            0.016017,           0.0046064,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.022144,           0.0069615,                   0,             0.95843,             0.96875,             0.99038,             0.76421,            0.017256,           0.0049578,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.02043,           0.0071299,                   0,             0.98009,             0.96639,              0.9921,             0.78681,            0.016795,            0.004722,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.02146,           0.0076854,                   0,                   1,             0.98308,             0.99479,              0.8253,            0.014278,           0.0042717,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.022227,           0.0077445,                   0,              0.9827,             0.98319,             0.99404,             0.81409,            0.014837,           0.0043585,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.020987,           0.0067529,                   0,             0.96645,             0.96823,             0.99117,               0.784,            0.016201,           0.0049862,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.019152,           0.0070083,                   0,             0.99124,             0.98739,             0.99455,              0.8196,            0.014375,           0.0042954,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.01962,            0.006718,                   0,              0.9888,             0.98319,             0.99467,              0.8214,             0.01431,           0.0042602,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.020508,            0.006999,                   0,             0.99363,             0.98319,             0.99471,             0.83431,            0.014028,           0.0042087,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.01955,           0.0068737,                   0,             0.99431,             0.98739,             0.99458,             0.82974,            0.014169,           0.0042439,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.020411,           0.0065962,                   0,               0.991,              0.9916,             0.99483,              0.8301,             0.01403,           0.0041397,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.019586,            0.006761,                   0,             0.99578,             0.99071,             0.99496,              0.8455,            0.013256,           0.0039173,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.020464,           0.0069094,                   0,             0.99405,              0.9916,             0.99479,             0.82792,            0.014156,           0.0039988,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.019553,           0.0067313,                   0,             0.99577,             0.98879,             0.99496,             0.84413,            0.012953,           0.0038728,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.018908,            0.006748,                   0,                   1,             0.99533,               0.995,             0.86378,            0.011938,           0.0037466,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.019215,           0.0066251,                   0,                   1,             0.99567,               0.995,             0.85409,            0.012172,           0.0037786,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.018893,           0.0068279,                   0,                   1,             0.98606,             0.99496,             0.86103,            0.012295,           0.0037898,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.017691,           0.0064934,                   0,             0.99743,              0.9958,               0.995,             0.85861,            0.012607,            0.003833,                   0,            0.000298,            0.000298,            0.000298
